"Step","rollout/step","rollout/step__MIN","rollout/step__MAX"
"12288","71.71005917159763","71.71005917159763","71.71005917159763"
"24576","83.7448275862069","83.7448275862069","83.7448275862069"
"36864","95.75590551181102","95.75590551181102","95.75590551181102"
"49152","137.06741573033707","137.06741573033707","137.06741573033707"
"61440","188.04615384615386","188.04615384615386","188.04615384615386"
"73728","235.30769230769232","235.30769230769232","235.30769230769232"
"86016","272.06666666666666","272.06666666666666","272.06666666666666"
"98304","437.85714285714283","437.85714285714283","437.85714285714283"
"110592","350.0857142857143","350.0857142857143","350.0857142857143"
"122880","437.85714285714283","437.85714285714283","437.85714285714283"
"135168","490.52","490.52","490.52"
"147456","681.6666666666666","681.6666666666666","681.6666666666666"
"159744","876.7142857142857","876.7142857142857","876.7142857142857"
"172032","944.2307692307693","944.2307692307693","944.2307692307693"
"184320","721.8235294117648","721.8235294117648","721.8235294117648"
"196608","681.6666666666666","681.6666666666666","681.6666666666666"
"208896","681.6666666666666","681.6666666666666","681.6666666666666"
"221184","645.7368421052631","645.7368421052631","645.7368421052631"
"233472","681.6666666666666","681.6666666666666","681.6666666666666"
"245760","944.2307692307693","944.2307692307693","944.2307692307693"
"258048","1023","1023","1023"
"270336","1227.8","1227.8","1227.8"
"282624","1535","1535","1535"
"294912","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"307200","1535","1535","1535"
"319488","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"331776","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"344064","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"356352","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"368640","2047","2047","2047"
"380928","2047","2047","2047"
"393216","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"405504","2047","2047","2047"
"417792","2047","2047","2047"
"430080","2047","2047","2047"
"442368","2047","2047","2047"
"454656","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"466944","2047","2047","2047"
"479232","2047","2047","2047"
"491520","2047","2047","2047"
"503808","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"516096","2047","2047","2047"
"528384","2047","2047","2047"
"540672","2047","2047","2047"
"552960","2047","2047","2047"
"565248","2047","2047","2047"
"577536","2047","2047","2047"
"589824","2047","2047","2047"
"602112","2047","2047","2047"
"614400","2047","2047","2047"
"626688","2047","2047","2047"
"638976","2047","2047","2047"
"651264","2047","2047","2047"
"663552","2047","2047","2047"
"675840","2047","2047","2047"
"688128","2047","2047","2047"
"700416","2047","2047","2047"
"712704","2047","2047","2047"
"724992","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"737280","2047","2047","2047"
"749568","2047","2047","2047"
"761856","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"774144","2047","2047","2047"
"786432","2047","2047","2047"
"798720","2047","2047","2047"
"811008","2047","2047","2047"
"823296","2047","2047","2047"
"835584","2047","2047","2047"
"847872","2047","2047","2047"
"860160","2047","2047","2047"
"872448","2047","2047","2047"
"884736","2047","2047","2047"
"897024","2047","2047","2047"
"909312","2047","2047","2047"
"921600","2047","2047","2047"
"933888","2047","2047","2047"
"946176","2047","2047","2047"
"958464","2047","2047","2047"
"970752","2047","2047","2047"
"983040","2047","2047","2047"
"995328","2047","2047","2047"
"1007616","2047","2047","2047"
"1019904","2047","2047","2047"
"1032192","2047","2047","2047"
"1044480","2047","2047","2047"
"1056768","2047","2047","2047"
"1069056","2047","2047","2047"
"1081344","2047","2047","2047"
"1093632","2047","2047","2047"
"1105920","2047","2047","2047"
"1118208","2047","2047","2047"
"1130496","2047","2047","2047"
"1142784","2047","2047","2047"
"1155072","2047","2047","2047"
"1167360","2047","2047","2047"
"1179648","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1191936","2047","2047","2047"
"1204224","2047","2047","2047"
"1216512","2047","2047","2047"
"1228800","2047","2047","2047"
"1241088","2047","2047","2047"
"1253376","2047","2047","2047"
"1265664","2047","2047","2047"
"1277952","2047","2047","2047"
"1290240","2047","2047","2047"
"1302528","2047","2047","2047"
"1314816","2047","2047","2047"
"1327104","2047","2047","2047"
"1339392","2047","2047","2047"
"1351680","2047","2047","2047"
"1363968","2047","2047","2047"
"1376256","2047","2047","2047"
"1388544","2047","2047","2047"
"1400832","2047","2047","2047"
"1413120","2047","2047","2047"
"1425408","2047","2047","2047"
"1437696","2047","2047","2047"
"1449984","2047","2047","2047"
"1462272","2047","2047","2047"
"1474560","2047","2047","2047"
"1486848","2047","2047","2047"
"1499136","2047","2047","2047"
"1511424","2047","2047","2047"
"1523712","2047","2047","2047"
"1536000","2047","2047","2047"
"1548288","2047","2047","2047"
"1560576","2047","2047","2047"
"1572864","2047","2047","2047"
"1585152","2047","2047","2047"
"1597440","2047","2047","2047"
"1609728","2047","2047","2047"
"1622016","2047","2047","2047"
"1634304","2047","2047","2047"
"1646592","2047","2047","2047"
"1658880","2047","2047","2047"
"1671168","2047","2047","2047"
"1683456","2047","2047","2047"
"1695744","2047","2047","2047"
"1708032","2047","2047","2047"
"1720320","2047","2047","2047"
"1732608","2047","2047","2047"
"1744896","2047","2047","2047"
"1757184","2047","2047","2047"
"1769472","2047","2047","2047"
"1781760","2047","2047","2047"
"1794048","2047","2047","2047"
"1806336","2047","2047","2047"
"1818624","2047","2047","2047"
"1830912","2047","2047","2047"
"1843200","2047","2047","2047"
"1855488","2047","2047","2047"
