"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","15.605508179165597","15.605508179165597","15.605508179165597"
"24576","18.13559129382625","18.13559129382625","18.13559129382625"
"36864","21.936092252435248","21.936092252435248","21.936092252435248"
"49152","31.136187601669647","31.136187601669647","31.136187601669647"
"61440","52.130716510202696","52.130716510202696","52.130716510202696"
"73728","105.20558724854473","105.20558724854473","105.20558724854473"
"86016","107.40716788598469","107.40716788598469","107.40716788598469"
"98304","166.66449352572945","166.66449352572945","166.66449352572945"
"110592","196.51565127736404","196.51565127736404","196.51565127736404"
"122880","189.54880599887693","189.54880599887693","189.54880599887693"
"135168","272.52810195520914","272.52810195520914","272.52810195520914"
"147456","350.3859114427778","350.3859114427778","350.3859114427778"
"159744","284.0225519914491","284.0225519914491","284.0225519914491"
"172032","281.85627589574955","281.85627589574955","281.85627589574955"
"184320","210.21976075674357","210.21976075674357","210.21976075674357"
"196608","264.7562191672623","264.7562191672623","264.7562191672623"
"208896","252.72774131153298","252.72774131153298","252.72774131153298"
"221184","309.04144509939044","309.04144509939044","309.04144509939044"
"233472","555.0717236655099","555.0717236655099","555.0717236655099"
"245760","392.7478914863369","392.7478914863369","392.7478914863369"
"258048","545.5597489765194","545.5597489765194","545.5597489765194"
"270336","746.3088723309711","746.3088723309711","746.3088723309711"
"282624","781.0294501393582","781.0294501393582","781.0294501393582"
"294912","687.8187100291252","687.8187100291252","687.8187100291252"
"307200","863.5083797263975","863.5083797263975","863.5083797263975"
"319488","828.2725105394469","828.2725105394469","828.2725105394469"
"331776","917.8765748937925","917.8765748937925","917.8765748937925"
"344064","797.1690101613211","797.1690101613211","797.1690101613211"
"356352","808.1104008725712","808.1104008725712","808.1104008725712"
"368640","884.9631554186344","884.9631554186344","884.9631554186344"
"380928","925.1637199024359","925.1637199024359","925.1637199024359"
"393216","772.6806889602116","772.6806889602116","772.6806889602116"
"405504","792.1511059648544","792.1511059648544","792.1511059648544"
"417792","765.8867145255527","765.8867145255527","765.8867145255527"
"430080","805.2597810922772","805.2597810922772","805.2597810922772"
"442368","775.7955869832348","775.7955869832348","775.7955869832348"
"454656","645.9742079196551","645.9742079196551","645.9742079196551"
"466944","697.2475823173469","697.2475823173469","697.2475823173469"
"479232","703.1891385205463","703.1891385205463","703.1891385205463"
"491520","726.9119636217753","726.9119636217753","726.9119636217753"
"503808","744.5990778207779","744.5990778207779","744.5990778207779"
"516096","556.8754080235958","556.8754080235958","556.8754080235958"
"528384","646.8264893879103","646.8264893879103","646.8264893879103"
"540672","738.7700698561058","738.7700698561058","738.7700698561058"
"552960","735.902917355299","735.902917355299","735.902917355299"
"565248","473.99748165811667","473.99748165811667","473.99748165811667"
"577536","714.5313037931919","714.5313037931919","714.5313037931919"
"589824","631.0824050051825","631.0824050051825","631.0824050051825"
"602112","732.9693806964865","732.9693806964865","732.9693806964865"
"614400","747.1220898119485","747.1220898119485","747.1220898119485"
"626688","747.8803048829237","747.8803048829237","747.8803048829237"
"638976","640.2073041030338","640.2073041030338","640.2073041030338"
"651264","630.9703642715621","630.9703642715621","630.9703642715621"
"663552","762.2242478416946","762.2242478416946","762.2242478416946"
"675840","747.8344814876715","747.8344814876715","747.8344814876715"
"688128","774.192432095479","774.192432095479","774.192432095479"
"700416","755.0166182703362","755.0166182703362","755.0166182703362"
"712704","786.2069937872762","786.2069937872762","786.2069937872762"
"724992","807.8159295815935","807.8159295815935","807.8159295815935"
"737280","839.7495180765787","839.7495180765787","839.7495180765787"
"749568","821.4316749869496","821.4316749869496","821.4316749869496"
"761856","798.2967178821564","798.2967178821564","798.2967178821564"
"774144","652.0145740243261","652.0145740243261","652.0145740243261"
"786432","770.5444266784067","770.5444266784067","770.5444266784067"
"798720","782.9028004507223","782.9028004507223","782.9028004507223"
"811008","794.491369057484","794.491369057484","794.491369057484"
"823296","805.4584429538003","805.4584429538003","805.4584429538003"
"835584","856.0174768454418","856.0174768454418","856.0174768454418"
"847872","824.1966568528325","824.1966568528325","824.1966568528325"
"860160","805.0714638916528","805.0714638916528","805.0714638916528"
"872448","823.8195416827997","823.8195416827997","823.8195416827997"
"884736","802.9101673662663","802.9101673662663","802.9101673662663"
"897024","825.8842144409815","825.8842144409815","825.8842144409815"
"909312","801.709030409654","801.709030409654","801.709030409654"
"921600","665.6941743227308","665.6941743227308","665.6941743227308"
"933888","779.7931212185532","779.7931212185532","779.7931212185532"
"946176","799.7777063435898","799.7777063435898","799.7777063435898"
"958464","791.8897675262477","791.8897675262477","791.8897675262477"
"970752","784.3626112305747","784.3626112305747","784.3626112305747"
"983040","772.6598979321992","772.6598979321992","772.6598979321992"
"995328","789.890059095787","789.890059095787","789.890059095787"
"1007616","811.8104172634954","811.8104172634954","811.8104172634954"
"1019904","778.4853324789515","778.4853324789515","778.4853324789515"
"1032192","781.6899793036655","781.6899793036655","781.6899793036655"
"1044480","793.2915961641779","793.2915961641779","793.2915961641779"
"1056768","797.9571772901094","797.9571772901094","797.9571772901094"
"1069056","821.582297532546","821.582297532546","821.582297532546"
"1081344","832.3543969976778","832.3543969976778","832.3543969976778"
"1093632","807.4000556667646","807.4000556667646","807.4000556667646"
"1105920","790.2818988847608","790.2818988847608","790.2818988847608"
"1118208","795.1201612937326","795.1201612937326","795.1201612937326"
"1130496","811.9034614264965","811.9034614264965","811.9034614264965"
"1142784","816.1347960718349","816.1347960718349","816.1347960718349"
"1155072","810.5712379912535","810.5712379912535","810.5712379912535"
"1167360","795.0436646143595","795.0436646143595","795.0436646143595"
"1179648","823.614075889062","823.614075889062","823.614075889062"
"1191936","813.1315999589698","813.1315999589698","813.1315999589698"
"1204224","819.0127511729346","819.0127511729346","819.0127511729346"
"1216512","780.5365332440288","780.5365332440288","780.5365332440288"
"1228800","815.855309048084","815.855309048084","815.855309048084"
"1241088","827.5826261043549","827.5826261043549","827.5826261043549"
"1253376","809.900252281415","809.900252281415","809.900252281415"
"1265664","797.7749593267387","797.7749593267387","797.7749593267387"
"1277952","791.6065454680434","791.6065454680434","791.6065454680434"
"1290240","791.5419383831695","791.5419383831695","791.5419383831695"
"1302528","793.1870389183363","793.1870389183363","793.1870389183363"
"1314816","778.4739934193964","778.4739934193964","778.4739934193964"
"1327104","804.3538552125295","804.3538552125295","804.3538552125295"
"1339392","796.1641847888628","796.1641847888628","796.1641847888628"
"1351680","808.7228718499342","808.7228718499342","808.7228718499342"
"1363968","814.611033557641","814.611033557641","814.611033557641"
"1376256","801.6853477458159","801.6853477458159","801.6853477458159"
"1388544","801.1473867583151","801.1473867583151","801.1473867583151"
"1400832","800.5624783335835","800.5624783335835","800.5624783335835"
"1413120","791.2500000087297","791.2500000087297","791.2500000087297"
"1425408","813.5425586477668","813.5425586477668","813.5425586477668"
"1437696","798.0377978471791","798.0377978471791","798.0377978471791"
"1449984","799.5458794421539","799.5458794421539","799.5458794421539"
"1462272","798.0900016116972","798.0900016116972","798.0900016116972"
"1474560","815.7791423883623","815.7791423883623","815.7791423883623"
"1486848","815.5991806860517","815.5991806860517","815.5991806860517"
"1499136","824.1027237562215","824.1027237562215","824.1027237562215"
"1511424","835.6184373597304","835.6184373597304","835.6184373597304"
"1523712","806.5539294071868","806.5539294071868","806.5539294071868"
"1536000","831.6220266024271","831.6220266024271","831.6220266024271"
"1548288","805.2614899663007","805.2614899663007","805.2614899663007"
"1560576","806.0568313773225","806.0568313773225","806.0568313773225"
"1572864","814.6459062385435","814.6459062385435","814.6459062385435"
"1585152","799.1467814147472","799.1467814147472","799.1467814147472"
"1597440","791.150963313824","791.150963313824","791.150963313824"
"1609728","787.9044526726838","787.9044526726838","787.9044526726838"
