"Step","rollout/step","rollout/step__MIN","rollout/step__MAX"
"12288","71.71005917159763","71.71005917159763","71.71005917159763"
"24576","63.33507853403141","63.33507853403141","63.33507853403141"
"36864","75.8","75.8","75.8"
"49152","111.73394495412845","111.73394495412845","111.73394495412845"
"61440","121.88","121.88","121.88"
"73728","169.66666666666666","169.66666666666666","169.66666666666666"
"86016","210.86206896551724","210.86206896551724","210.86206896551724"
"98304","239.94117647058823","239.94117647058823","239.94117647058823"
"110592","284.7674418604651","284.7674418604651","284.7674418604651"
"122880","371.3636363636364","371.3636363636364","371.3636363636364"
"135168","511","511","511"
"147456","721.8235294117648","721.8235294117648","721.8235294117648"
"159744","395.38709677419354","395.38709677419354","395.38709677419354"
"172032","818.2","818.2","818.2"
"184320","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"196608","1116.090909090909","1116.090909090909","1116.090909090909"
"208896","944.2307692307693","944.2307692307693","944.2307692307693"
"221184","1023","1023","1023"
"233472","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"245760","1227.8","1227.8","1227.8"
"258048","2047","2047","2047"
"270336","1535","1535","1535"
"282624","2047","2047","2047"
"294912","2047","2047","2047"
"307200","2047","2047","2047"
"319488","2047","2047","2047"
"331776","2047","2047","2047"
"344064","2047","2047","2047"
"356352","2047","2047","2047"
"368640","1535","1535","1535"
"380928","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"393216","2047","2047","2047"
"405504","2047","2047","2047"
"417792","2047","2047","2047"
"430080","2047","2047","2047"
"442368","2047","2047","2047"
"454656","2047","2047","2047"
"466944","2047","2047","2047"
"479232","2047","2047","2047"
"491520","2047","2047","2047"
"503808","2047","2047","2047"
"516096","2047","2047","2047"
"528384","2047","2047","2047"
"540672","2047","2047","2047"
"552960","2047","2047","2047"
"565248","2047","2047","2047"
"577536","2047","2047","2047"
"589824","2047","2047","2047"
"602112","2047","2047","2047"
"614400","2047","2047","2047"
"626688","2047","2047","2047"
"638976","2047","2047","2047"
"651264","2047","2047","2047"
"663552","2047","2047","2047"
"675840","2047","2047","2047"
"688128","2047","2047","2047"
"700416","2047","2047","2047"
"712704","2047","2047","2047"
"724992","2047","2047","2047"
"737280","2047","2047","2047"
"749568","2047","2047","2047"
"761856","2047","2047","2047"
"774144","2047","2047","2047"
"786432","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"798720","2047","2047","2047"
"811008","2047","2047","2047"
"823296","2047","2047","2047"
"835584","2047","2047","2047"
"847872","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"860160","2047","2047","2047"
"872448","2047","2047","2047"
"884736","2047","2047","2047"
"897024","2047","2047","2047"
"909312","2047","2047","2047"
"921600","2047","2047","2047"
"933888","2047","2047","2047"
"946176","2047","2047","2047"
"958464","2047","2047","2047"
"970752","2047","2047","2047"
"983040","2047","2047","2047"
"995328","2047","2047","2047"
"1007616","2047","2047","2047"
"1019904","2047","2047","2047"
"1032192","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1044480","2047","2047","2047"
"1056768","2047","2047","2047"
"1069056","2047","2047","2047"
"1081344","2047","2047","2047"
"1093632","2047","2047","2047"
"1105920","2047","2047","2047"
"1118208","2047","2047","2047"
"1130496","2047","2047","2047"
"1142784","2047","2047","2047"
"1155072","2047","2047","2047"
"1167360","2047","2047","2047"
"1179648","2047","2047","2047"
"1191936","2047","2047","2047"
"1204224","2047","2047","2047"
"1216512","2047","2047","2047"
"1228800","2047","2047","2047"
"1241088","2047","2047","2047"
"1253376","2047","2047","2047"
"1265664","2047","2047","2047"
"1277952","2047","2047","2047"
"1290240","2047","2047","2047"
"1302528","2047","2047","2047"
"1314816","2047","2047","2047"
"1327104","2047","2047","2047"
"1339392","2047","2047","2047"
"1351680","2047","2047","2047"
"1363968","2047","2047","2047"
"1376256","2047","2047","2047"
"1388544","2047","2047","2047"
"1400832","2047","2047","2047"
"1413120","2047","2047","2047"
"1425408","2047","2047","2047"
"1437696","2047","2047","2047"
"1449984","2047","2047","2047"
"1462272","2047","2047","2047"
"1474560","2047","2047","2047"
"1486848","2047","2047","2047"
"1499136","2047","2047","2047"
"1511424","2047","2047","2047"
"1523712","2047","2047","2047"
"1536000","2047","2047","2047"
"1548288","2047","2047","2047"
"1560576","2047","2047","2047"
"1572864","2047","2047","2047"
"1585152","2047","2047","2047"
"1597440","2047","2047","2047"
"1609728","2047","2047","2047"
"1622016","2047","2047","2047"
"1634304","2047","2047","2047"
"1646592","2047","2047","2047"
"1658880","2047","2047","2047"
