"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","16.246918983542162","16.246918983542162","16.246918983542162"
"24576","17.108142302141253","17.108142302141253","17.108142302141253"
"36864","17.437373870314815","17.437373870314815","17.437373870314815"
"49152","19.558975259917123","19.558975259917123","19.558975259917123"
"61440","21.33493602953985","21.33493602953985","21.33493602953985"
"73728","42.043544262074505","42.043544262074505","42.043544262074505"
"86016","58.413675009278585","58.413675009278585","58.413675009278585"
"98304","68.97708278043662","68.97708278043662","68.97708278043662"
"110592","79.35601973719895","79.35601973719895","79.35601973719895"
"122880","117.50185658930025","117.50185658930025","117.50185658930025"
"135168","142.97956823045817","142.97956823045817","142.97956823045817"
"147456","186.48555959974016","186.48555959974016","186.48555959974016"
"159744","255.35852982771632","255.35852982771632","255.35852982771632"
"172032","238.31370093947962","238.31370093947962","238.31370093947962"
"184320","391.79075157085435","391.79075157085435","391.79075157085435"
"196608","293.53813710561894","293.53813710561894","293.53813710561894"
"208896","381.16853417940047","381.16853417940047","381.16853417940047"
"221184","620.9295521026497","620.9295521026497","620.9295521026497"
"233472","560.2426572665572","560.2426572665572","560.2426572665572"
"245760","655.8984106247553","655.8984106247553","655.8984106247553"
"258048","493.1808271405519","493.1808271405519","493.1808271405519"
"270336","552.0236622542143","552.0236622542143","552.0236622542143"
"282624","663.1553605273685","663.1553605273685","663.1553605273685"
"294912","696.7988677183719","696.7988677183719","696.7988677183719"
"307200","692.0781410420547","692.0781410420547","692.0781410420547"
"319488","527.3444289166869","527.3444289166869","527.3444289166869"
"331776","823.3710596337379","823.3710596337379","823.3710596337379"
"344064","820.4752256770929","820.4752256770929","820.4752256770929"
"356352","811.9384269913038","811.9384269913038","811.9384269913038"
"368640","537.776880463682","537.776880463682","537.776880463682"
"380928","790.5278990057981","790.5278990057981","790.5278990057981"
"393216","606.0417848825455","606.0417848825455","606.0417848825455"
"405504","601.6721406802535","601.6721406802535","601.6721406802535"
"417792","686.5925013593265","686.5925013593265","686.5925013593265"
"430080","527.599977665392","527.599977665392","527.599977665392"
"442368","782.4336797506447","782.4336797506447","782.4336797506447"
"454656","678.2987770012447","678.2987770012447","678.2987770012447"
"466944","780.6062001882702","780.6062001882702","780.6062001882702"
"479232","800.7463318803619","800.7463318803619","800.7463318803619"
"491520","674.09750399316","674.09750399316","674.09750399316"
"503808","679.2941719794168","679.2941719794168","679.2941719794168"
"516096","536.68554521923","536.68554521923","536.68554521923"
"528384","810.4771449465266","810.4771449465266","810.4771449465266"
"540672","796.3842034538587","796.3842034538587","796.3842034538587"
"552960","766.4957100749016","766.4957100749016","766.4957100749016"
