"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","161","161","161"
"24576","193","193","193"
"36864","174","174","174"
"49152","142","142","142"
"61440","85","85","85"
"73728","50","50","50"
"86016","32","32","32"
"98304","30","30","30"
"110592","28","28","28"
"122880","11","11","11"
"135168","6","6","6"
"147456","5","5","5"
"159744","3","3","3"
"172032","2","2","2"
"184320","0","0","0"
"196608","1","1","1"
"208896","4","4","4"
"221184","8","8","8"
"233472","4","4","4"
"245760","2","2","2"
"258048","7","7","7"
"270336","1","1","1"
"282624","5","5","5"
"294912","5","5","5"
"307200","7","7","7"
"319488","2","2","2"
"331776","1","1","1"
"344064","3","3","3"
"356352","1","1","1"
"368640","1","1","1"
"380928","2","2","2"
"393216","14","14","14"
"405504","12","12","12"
"417792","24","24","24"
"430080","23","23","23"
"442368","23","23","23"
"454656","23","23","23"
"466944","22","22","22"
"479232","28","28","28"
"491520","21","21","21"
"503808","16","16","16"
"516096","18","18","18"
"528384","23","23","23"
"540672","8","8","8"
"552960","11","11","11"
"565248","9","9","9"
"577536","8","8","8"
"589824","7","7","7"
"602112","4","4","4"
"614400","8","8","8"
"626688","6","6","6"
"638976","3","3","3"
"651264","1","1","1"
"663552","5","5","5"
"675840","0","0","0"
"688128","1","1","1"
"700416","2","2","2"
"712704","1","1","1"
"724992","1","1","1"
"737280","0","0","0"
"749568","1","1","1"
"761856","1","1","1"
"774144","2","2","2"
"786432","2","2","2"
"798720","2","2","2"
"811008","5","5","5"
"823296","2","2","2"
"835584","1","1","1"
"847872","7","7","7"
"860160","1","1","1"
"872448","2","2","2"
"884736","1","1","1"
"897024","0","0","0"
"909312","0","0","0"
"921600","0","0","0"
"933888","0","0","0"
"946176","1","1","1"
"958464","1","1","1"
"970752","2","2","2"
"983040","0","0","0"
"995328","1","1","1"
"1007616","1","1","1"
"1019904","0","0","0"
"1032192","0","0","0"
"1044480","1","1","1"
"1056768","0","0","0"
"1069056","1","1","1"
"1081344","1","1","1"
"1093632","0","0","0"
"1105920","1","1","1"
"1118208","0","0","0"
"1130496","1","1","1"
"1142784","0","0","0"
"1155072","1","1","1"
"1167360","0","0","0"
"1179648","0","0","0"
"1191936","1","1","1"
"1204224","1","1","1"
"1216512","0","0","0"
"1228800","4","4","4"
"1241088","0","0","0"
"1253376","2","2","2"
"1265664","1","1","1"
"1277952","1","1","1"
"1290240","0","0","0"
"1302528","0","0","0"
"1314816","1","1","1"
"1327104","0","0","0"
"1339392","2","2","2"
"1351680","1","1","1"
"1363968","0","0","0"
"1376256","2","2","2"
"1388544","0","0","0"
"1400832","0","0","0"
"1413120","0","0","0"
"1425408","0","0","0"
"1437696","1","1","1"
"1449984","0","0","0"
"1462272","0","0","0"
"1474560","0","0","0"
"1486848","1","1","1"
"1499136","0","0","0"
"1511424","0","0","0"
"1523712","0","0","0"
"1536000","0","0","0"
"1548288","0","0","0"
"1560576","1","1","1"
"1572864","0","0","0"
"1585152","0","0","0"
"1597440","1","1","1"
"1609728","0","0","0"
"1622016","0","0","0"
"1634304","0","0","0"
"1646592","0","0","0"
"1658880","0","0","0"
"1671168","0","0","0"
"1683456","0","0","0"
"1695744","0","0","0"
"1708032","0","0","0"
"1720320","0","0","0"
"1732608","0","0","0"
"1744896","0","0","0"
"1757184","0","0","0"
"1769472","0","0","0"
"1781760","0","0","0"
"1794048","0","0","0"
"1806336","0","0","0"
"1818624","0","0","0"
