"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","15.565440481049674","15.565440481049674","15.565440481049674"
"24576","18.604147066672642","18.604147066672642","18.604147066672642"
"36864","24.491714291538752","24.491714291538752","24.491714291538752"
"49152","27.181665189278352","27.181665189278352","27.181665189278352"
"61440","58.94850360702844","58.94850360702844","58.94850360702844"
"73728","90.1179412707146","90.1179412707146","90.1179412707146"
"86016","115.60083471593403","115.60083471593403","115.60083471593403"
"98304","115.96406766329316","115.96406766329316","115.96406766329316"
"110592","114.49722211477327","114.49722211477327","114.49722211477327"
"122880","162.8558131546685","162.8558131546685","162.8558131546685"
"135168","214.83045607142978","214.83045607142978","214.83045607142978"
"147456","199.61154022787034","199.61154022787034","199.61154022787034"
"159744","386.96924465497335","386.96924465497335","386.96924465497335"
"172032","545.2522595226765","545.2522595226765","545.2522595226765"
"184320","530.1928927711598","530.1928927711598","530.1928927711598"
"196608","629.8891292958491","629.8891292958491","629.8891292958491"
"208896","597.0228811278939","597.0228811278939","597.0228811278939"
"221184","740.0636343955994","740.0636343955994","740.0636343955994"
"233472","573.4249095725801","573.4249095725801","573.4249095725801"
"245760","610.8055745649214","610.8055745649214","610.8055745649214"
"258048","599.1974501011194","599.1974501011194","599.1974501011194"
"270336","563.9099512374154","563.9099512374154","563.9099512374154"
"282624","551.4274046233132","551.4274046233132","551.4274046233132"
"294912","563.7990291118622","563.7990291118622","563.7990291118622"
"307200","579.4421771963438","579.4421771963438","579.4421771963438"
"319488","614.4411584038248","614.4411584038248","614.4411584038248"
"331776","626.354860762627","626.354860762627","626.354860762627"
"344064","644.4126314806814","644.4126314806814","644.4126314806814"
"356352","671.1200460866839","671.1200460866839","671.1200460866839"
"368640","608.7159658403555","608.7159658403555","608.7159658403555"
"380928","748.2124890859674","748.2124890859674","748.2124890859674"
"393216","674.0538079888267","674.0538079888267","674.0538079888267"
"405504","593.326583684202","593.326583684202","593.326583684202"
"417792","840.1359338922924","840.1359338922924","840.1359338922924"
"430080","862.1877992538488","862.1877992538488","862.1877992538488"
"442368","783.175743425563","783.175743425563","783.175743425563"
"454656","900.4992815950226","900.4992815950226","900.4992815950226"
"466944","795.3787345544534","795.3787345544534","795.3787345544534"
"479232","847.4504457290719","847.4504457290719","847.4504457290719"
"491520","626.3125308146019","626.3125308146019","626.3125308146019"
"503808","806.314451616092","806.314451616092","806.314451616092"
"516096","749.8717436005221","749.8717436005221","749.8717436005221"
"528384","783.6970741947492","783.6970741947492","783.6970741947492"
"540672","785.3586249747585","785.3586249747585","785.3586249747585"
"552960","792.4359691527075","792.4359691527075","792.4359691527075"
"565248","806.2125448682617","806.2125448682617","806.2125448682617"
"577536","832.5213600097806","832.5213600097806","832.5213600097806"
"589824","817.2562727991368","817.2562727991368","817.2562727991368"
"602112","679.1436053779155","679.1436053779155","679.1436053779155"
"614400","670.2654414422066","670.2654414422066","670.2654414422066"
"626688","797.4472905671349","797.4472905671349","797.4472905671349"
"638976","703.8267159717424","703.8267159717424","703.8267159717424"
"651264","815.6023141642412","815.6023141642412","815.6023141642412"
"663552","821.3146875699362","821.3146875699362","821.3146875699362"
"675840","818.917417049408","818.917417049408","818.917417049408"
"688128","735.7700791008026","735.7700791008026","735.7700791008026"
"700416","831.7628159101556","831.7628159101556","831.7628159101556"
"712704","806.2202001400665","806.2202001400665","806.2202001400665"
"724992","772.9448255497923","772.9448255497923","772.9448255497923"
"737280","674.783242889813","674.783242889813","674.783242889813"
"749568","599.32385443151","599.32385443151","599.32385443151"
"761856","849.0330637085314","849.0330637085314","849.0330637085314"
"774144","778.263385126988","778.263385126988","778.263385126988"
"786432","797.7864761352539","797.7864761352539","797.7864761352539"
"798720","687.0542195609638","687.0542195609638","687.0542195609638"
"811008","832.1727110730197","832.1727110730197","832.1727110730197"
"823296","867.4345324039459","867.4345324039459","867.4345324039459"
"835584","754.4482303241109","754.4482303241109","754.4482303241109"
"847872","908.9862670213814","908.9862670213814","908.9862670213814"
"860160","721.1402563963618","721.1402563963618","721.1402563963618"
"872448","842.2657742090896","842.2657742090896","842.2657742090896"
"884736","896.6573908104957","896.6573908104957","896.6573908104957"
"897024","717.7498471979836","717.7498471979836","717.7498471979836"
"909312","855.2865455833947","855.2865455833947","855.2865455833947"
"921600","863.9970818547284","863.9970818547284","863.9970818547284"
"933888","916.5555628426746","916.5555628426746","916.5555628426746"
"946176","721.3498388613973","721.3498388613973","721.3498388613973"
"958464","883.2463214981432","883.2463214981432","883.2463214981432"
"970752","947.9878911053887","947.9878911053887","947.9878911053887"
"983040","910.0979603504887","910.0979603504887","910.0979603504887"
"995328","870.6618025909697","870.6618025909697","870.6618025909697"
"1007616","732.1936886564928","732.1936886564928","732.1936886564928"
"1019904","809.1010410089007","809.1010410089007","809.1010410089007"
"1032192","890.2639686850583","890.2639686850583","890.2639686850583"
"1044480","846.6055372753452","846.6055372753452","846.6055372753452"
"1056768","716.045210352856","716.045210352856","716.045210352856"
"1069056","783.5157759475584","783.5157759475584","783.5157759475584"
"1081344","812.3082163309804","812.3082163309804","812.3082163309804"
"1093632","785.0173199550063","785.0173199550063","785.0173199550063"
"1105920","758.4427895732597","758.4427895732597","758.4427895732597"
"1118208","767.5606392808631","767.5606392808631","767.5606392808631"
"1130496","797.4514645326013","797.4514645326013","797.4514645326013"
"1142784","667.988168486527","667.988168486527","667.988168486527"
"1155072","776.0165673392436","776.0165673392436","776.0165673392436"
"1167360","800.1684467991194","800.1684467991194","800.1684467991194"
"1179648","771.5515611855066","771.5515611855066","771.5515611855066"
"1191936","789.975283243913","789.975283243913","789.975283243913"
"1204224","766.3909192283949","766.3909192283949","766.3909192283949"
"1216512","652.6636610711226","652.6636610711226","652.6636610711226"
"1228800","761.3908934692541","761.3908934692541","761.3908934692541"
"1241088","775.2828159517632","775.2828159517632","775.2828159517632"
"1253376","781.3422173931659","781.3422173931659","781.3422173931659"
"1265664","780.8317048560416","780.8317048560416","780.8317048560416"
"1277952","777.0726545651754","777.0726545651754","777.0726545651754"
"1290240","770.5343495208731","770.5343495208731","770.5343495208731"
"1302528","772.7224687423891","772.7224687423891","772.7224687423891"
"1314816","762.6955972810587","762.6955972810587","762.6955972810587"
"1327104","775.6821522712708","775.6821522712708","775.6821522712708"
"1339392","781.4707937439283","781.4707937439283","781.4707937439283"
"1351680","775.418556680282","775.418556680282","775.418556680282"
"1363968","772.5583632191023","772.5583632191023","772.5583632191023"
"1376256","781.6148321827253","781.6148321827253","781.6148321827253"
"1388544","780.6270213027796","780.6270213027796","780.6270213027796"
"1400832","788.8208017833904","788.8208017833904","788.8208017833904"
"1413120","765.8456885516644","765.8456885516644","765.8456885516644"
"1425408","776.6991195082664","776.6991195082664","776.6991195082664"
"1437696","777.5977480200803","777.5977480200803","777.5977480200803"
"1449984","667.8857593865553","667.8857593865553","667.8857593865553"
"1462272","779.9909419914087","779.9909419914087","779.9909419914087"
"1474560","789.2907884307579","789.2907884307579","789.2907884307579"
"1486848","788.6792561598495","788.6792561598495","788.6792561598495"
