"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","149","149","149"
"24576","172","172","172"
"36864","147","147","147"
"49152","150","150","150"
"61440","132","132","132"
"73728","121","121","121"
"86016","85","85","85"
"98304","72","72","72"
"110592","62","62","62"
"122880","55","55","55"
"135168","51","51","51"
"147456","37","37","37"
"159744","51","51","51"
"172032","53","53","53"
"184320","54","54","54"
"196608","48","48","48"
"208896","53","53","53"
"221184","59","59","59"
"233472","64","64","64"
"245760","66","66","66"
"258048","63","63","63"
"270336","80","80","80"
"282624","73","73","73"
"294912","89","89","89"
"307200","80","80","80"
"319488","90","90","90"
"331776","98","98","98"
"344064","111","111","111"
"356352","99","99","99"
"368640","94","94","94"
"380928","82","82","82"
"393216","80","80","80"
"405504","81","81","81"
"417792","86","86","86"
"430080","82","82","82"
"442368","76","76","76"
"454656","76","76","76"
"466944","69","69","69"
"479232","76","76","76"
"491520","77","77","77"
"503808","81","81","81"
"516096","73","73","73"
"528384","71","71","71"
"540672","75","75","75"
"552960","76","76","76"
"565248","71","71","71"
"577536","71","71","71"
"589824","63","63","63"
"602112","61","61","61"
"614400","64","64","64"
"626688","61","61","61"
"638976","57","57","57"
"651264","59","59","59"
"663552","58","58","58"
"675840","58","58","58"
"688128","61","61","61"
"700416","61","61","61"
"712704","45","45","45"
"724992","61","61","61"
"737280","58","58","58"
"749568","56","56","56"
"761856","57","57","57"
"774144","52","52","52"
"786432","43","43","43"
"798720","62","62","62"
"811008","51","51","51"
"823296","54","54","54"
"835584","51","51","51"
"847872","67","67","67"
"860160","60","60","60"
"872448","54","54","54"
"884736","52","52","52"
"897024","60","60","60"
"909312","46","46","46"
"921600","49","49","49"
"933888","55","55","55"
"946176","57","57","57"
"958464","48","48","48"
"970752","46","46","46"
"983040","53","53","53"
"995328","63","63","63"
"1007616","47","47","47"
"1019904","64","64","64"
"1032192","48","48","48"
"1044480","54","54","54"
"1056768","42","42","42"
"1069056","48","48","48"
"1081344","55","55","55"
"1093632","50","50","50"
"1105920","45","45","45"
"1118208","39","39","39"
"1130496","37","37","37"
"1142784","45","45","45"
"1155072","50","50","50"
"1167360","48","48","48"
"1179648","54","54","54"
"1191936","46","46","46"
"1204224","56","56","56"
"1216512","53","53","53"
"1228800","45","45","45"
"1241088","41","41","41"
"1253376","38","38","38"
"1265664","39","39","39"
"1277952","46","46","46"
"1290240","46","46","46"
"1302528","50","50","50"
"1314816","50","50","50"
"1327104","43","43","43"
"1339392","50","50","50"
"1351680","51","51","51"
"1363968","60","60","60"
"1376256","57","57","57"
"1388544","63","63","63"
"1400832","41","41","41"
"1413120","51","51","51"
"1425408","52","52","52"
"1437696","50","50","50"
"1449984","52","52","52"
"1462272","46","46","46"
"1474560","52","52","52"
"1486848","57","57","57"
"1499136","46","46","46"
"1511424","45","45","45"
"1523712","57","57","57"
"1536000","53","53","53"
"1548288","52","52","52"
"1560576","57","57","57"
"1572864","45","45","45"
"1585152","54","54","54"
"1597440","46","46","46"
"1609728","47","47","47"
"1622016","51","51","51"
"1634304","48","48","48"
"1646592","50","50","50"
"1658880","50","50","50"
"1671168","46","46","46"
"1683456","55","55","55"
"1695744","51","51","51"
"1708032","54","54","54"
"1720320","47","47","47"
"1732608","45","45","45"
"1744896","45","45","45"
"1757184","43","43","43"
