"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","166","166","166"
"24576","151","151","151"
"36864","109","109","109"
"49152","89","89","89"
"61440","59","59","59"
"73728","40","40","40"
"86016","32","32","32"
"98304","13","13","13"
"110592","22","22","22"
"122880","6","6","6"
"135168","8","8","8"
"147456","7","7","7"
"159744","6","6","6"
"172032","8","8","8"
"184320","4","4","4"
"196608","1","1","1"
"208896","2","2","2"
"221184","4","4","4"
"233472","3","3","3"
"245760","5","5","5"
"258048","2","2","2"
"270336","1","1","1"
"282624","1","1","1"
"294912","2","2","2"
"307200","0","0","0"
"319488","0","0","0"
"331776","2","2","2"
"344064","0","0","0"
"356352","0","0","0"
"368640","0","0","0"
"380928","0","0","0"
"393216","1","1","1"
"405504","1","1","1"
"417792","0","0","0"
"430080","0","0","0"
"442368","0","0","0"
"454656","0","0","0"
"466944","0","0","0"
"479232","0","0","0"
"491520","0","0","0"
"503808","1","1","1"
"516096","0","0","0"
"528384","0","0","0"
"540672","0","0","0"
"552960","0","0","0"
"565248","0","0","0"
"577536","0","0","0"
"589824","0","0","0"
"602112","0","0","0"
"614400","0","0","0"
"626688","1","1","1"
"638976","0","0","0"
"651264","0","0","0"
"663552","0","0","0"
"675840","0","0","0"
"688128","0","0","0"
"700416","0","0","0"
"712704","0","0","0"
"724992","0","0","0"
"737280","1","1","1"
"749568","0","0","0"
"761856","0","0","0"
"774144","0","0","0"
"786432","0","0","0"
"798720","0","0","0"
"811008","0","0","0"
"823296","0","0","0"
"835584","0","0","0"
"847872","0","0","0"
"860160","0","0","0"
"872448","0","0","0"
"884736","0","0","0"
"897024","0","0","0"
"909312","1","1","1"
"921600","0","0","0"
"933888","0","0","0"
"946176","0","0","0"
"958464","0","0","0"
"970752","0","0","0"
"983040","0","0","0"
"995328","0","0","0"
"1007616","0","0","0"
"1019904","0","0","0"
"1032192","0","0","0"
"1044480","0","0","0"
"1056768","0","0","0"
"1069056","0","0","0"
"1081344","0","0","0"
"1093632","1","1","1"
"1105920","0","0","0"
"1118208","0","0","0"
"1130496","0","0","0"
"1142784","0","0","0"
"1155072","0","0","0"
"1167360","0","0","0"
"1179648","0","0","0"
"1191936","0","0","0"
"1204224","0","0","0"
"1216512","0","0","0"
"1228800","0","0","0"
"1241088","0","0","0"
"1253376","0","0","0"
"1265664","0","0","0"
"1277952","0","0","0"
"1290240","0","0","0"
"1302528","0","0","0"
"1314816","0","0","0"
"1327104","0","0","0"
"1339392","0","0","0"
"1351680","0","0","0"
"1363968","0","0","0"
"1376256","0","0","0"
"1388544","0","0","0"
"1400832","0","0","0"
"1413120","0","0","0"
"1425408","0","0","0"
"1437696","0","0","0"
"1449984","0","0","0"
"1462272","0","0","0"
"1474560","0","0","0"
"1486848","0","0","0"
"1499136","0","0","0"
"1511424","0","0","0"
"1523712","0","0","0"
"1536000","0","0","0"
"1548288","0","0","0"
"1560576","1","1","1"
"1572864","0","0","0"
"1585152","0","0","0"
"1597440","0","0","0"
"1609728","0","0","0"
"1622016","0","0","0"
"1634304","0","0","0"
"1646592","0","0","0"
"1658880","0","0","0"
"1671168","0","0","0"
"1683456","0","0","0"
"1695744","0","0","0"
"1708032","0","0","0"
"1720320","0","0","0"
"1732608","0","0","0"
"1744896","0","0","0"
"1757184","0","0","0"
"1769472","0","0","0"
"1781760","0","0","0"
"1794048","0","0","0"
"1806336","0","0","0"
"1818624","0","0","0"
"1830912","0","0","0"
"1843200","0","0","0"
"1855488","0","0","0"
"1867776","0","0","0"
"1880064","0","0","0"
"1892352","0","0","0"
"1904640","0","0","0"
"1916928","0","0","0"
"1929216","0","0","0"
"1941504","0","0","0"
"1953792","0","0","0"
"1966080","0","0","0"
"1978368","0","0","0"
"1990656","0","0","0"
"2002944","0","0","0"
"2015232","0","0","0"
"2027520","0","0","0"
"2039808","0","0","0"
"2052096","0","0","0"
"2064384","0","0","0"
"2076672","0","0","0"
"2088960","0","0","0"
"2101248","0","0","0"
"2113536","0","0","0"
"2125824","0","0","0"
"2138112","0","0","0"
"2150400","0","0","0"
"2162688","0","0","0"
"2174976","0","0","0"
"2187264","0","0","0"
"2199552","0","0","0"
"2211840","0","0","0"
"2224128","0","0","0"
"2236416","0","0","0"
"2248704","0","0","0"
"2260992","0","0","0"
"2273280","0","0","0"
"2285568","0","0","0"
"2297856","0","0","0"
"2310144","0","0","0"
"2322432","0","0","0"
"2334720","0","0","0"
"2347008","0","0","0"
"2359296","0","0","0"
"2371584","0","0","0"
"2383872","0","0","0"
"2396160","0","0","0"
"2408448","0","0","0"
"2420736","0","0","0"
"2433024","0","0","0"
"2445312","0","0","0"
"2457600","0","0","0"
"2469888","0","0","0"
"2482176","0","0","0"
"2494464","0","0","0"
"2506752","0","0","0"
"2519040","0","0","0"
"2531328","0","0","0"
"2543616","0","0","0"
"2555904","0","0","0"
"2568192","0","0","0"
"2580480","0","0","0"
"2592768","0","0","0"
"2605056","0","0","0"
"2617344","0","0","0"
