"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","15.906239381177084","15.906239381177084","15.906239381177084"
"24576","21.642868620318335","21.642868620318335","21.642868620318335"
"36864","31.80728851212939","31.80728851212939","31.80728851212939"
"49152","55.92877264688541","55.92877264688541","55.92877264688541"
"61440","72.01888262958668","72.01888262958668","72.01888262958668"
"73728","87.10079948691403","87.10079948691403","87.10079948691403"
"86016","97.78983682916875","97.78983682916875","97.78983682916875"
"98304","121.28963150844426","121.28963150844426","121.28963150844426"
"110592","187.29705951190994","187.29705951190994","187.29705951190994"
"122880","162.78725162224893","162.78725162224893","162.78725162224893"
"135168","227.40737732114462","227.40737732114462","227.40737732114462"
"147456","252.28193479749618","252.28193479749618","252.28193479749618"
"159744","327.2211854031376","327.2211854031376","327.2211854031376"
"172032","409.2305230007452","409.2305230007452","409.2305230007452"
"184320","545.712367580428","545.712367580428","545.712367580428"
"196608","333.1582679145606","333.1582679145606","333.1582679145606"
"208896","511.7518916597839","511.7518916597839","511.7518916597839"
"221184","919.8327132469607","919.8327132469607","919.8327132469607"
"233472","595.5177724801791","595.5177724801791","595.5177724801791"
"245760","1074.0690621988017","1074.0690621988017","1074.0690621988017"
"258048","821.1578512265176","821.1578512265176","821.1578512265176"
"270336","1073.850835306304","1073.850835306304","1073.850835306304"
"282624","833.0911079496642","833.0911079496642","833.0911079496642"
"294912","727.2995348273168","727.2995348273168","727.2995348273168"
"307200","1038.948931302343","1038.948931302343","1038.948931302343"
"319488","1029.8509997884364","1029.8509997884364","1029.8509997884364"
"331776","1234.3646864195664","1234.3646864195664","1234.3646864195664"
"344064","1046.3132165414947","1046.3132165414947","1046.3132165414947"
"356352","814.980758061111","814.980758061111","814.980758061111"
"368640","1068.8244849613734","1068.8244849613734","1068.8244849613734"
"380928","1238.4736751381186","1238.4736751381186","1238.4736751381186"
"393216","1218.3447032656854","1218.3447032656854","1218.3447032656854"
"405504","1064.654311247202","1064.654311247202","1064.654311247202"
"417792","1232.91956935193","1232.91956935193","1232.91956935193"
"430080","1232.9330716903758","1232.9330716903758","1232.9330716903758"
"442368","1214.899850308895","1214.899850308895","1214.899850308895"
"454656","1204.4685631394386","1204.4685631394386","1204.4685631394386"
"466944","1221.9662034610908","1221.9662034610908","1221.9662034610908"
"479232","1243.9042431885462","1243.9042431885462","1243.9042431885462"
"491520","1211.8484797676404","1211.8484797676404","1211.8484797676404"
"503808","1247.82067617774","1247.82067617774","1247.82067617774"
"516096","1262.0160862306755","1262.0160862306755","1262.0160862306755"
"528384","1252.9700056013883","1252.9700056013883","1252.9700056013883"
"540672","1256.0474916199844","1256.0474916199844","1256.0474916199844"
"552960","1218.3935378181811","1218.3935378181811","1218.3935378181811"
"565248","1284.8712235180412","1284.8712235180412","1284.8712235180412"
"577536","1266.5084017205115","1266.5084017205115","1266.5084017205115"
"589824","1272.816612687074","1272.816612687074","1272.816612687074"
"602112","1303.6956511370845","1303.6956511370845","1303.6956511370845"
"614400","1122.9060227954992","1122.9060227954992","1122.9060227954992"
"626688","1293.6192035849642","1293.6192035849642","1293.6192035849642"
"638976","1270.2708116658405","1270.2708116658405","1270.2708116658405"
"651264","1237.1573888558855","1237.1573888558855","1237.1573888558855"
"663552","1255.235808560041","1255.235808560041","1255.235808560041"
"675840","1207.4323568145435","1207.4323568145435","1207.4323568145435"
"688128","1216.0717118382452","1216.0717118382452","1216.0717118382452"
"700416","1200.7394159026817","1200.7394159026817","1200.7394159026817"
"712704","1191.8795835351696","1191.8795835351696","1191.8795835351696"
"724992","1243.7346655015158","1243.7346655015158","1243.7346655015158"
"737280","1240.9706574777763","1240.9706574777763","1240.9706574777763"
"749568","1247.0959959514812","1247.0959959514812","1247.0959959514812"
"761856","1057.5287957957812","1057.5287957957812","1057.5287957957812"
"774144","1209.4198939390853","1209.4198939390853","1209.4198939390853"
"786432","1235.6994976103308","1235.6994976103308","1235.6994976103308"
"798720","1233.9662421619644","1233.9662421619644","1233.9662421619644"
"811008","1226.0183518504848","1226.0183518504848","1226.0183518504848"
"823296","1229.3185943452393","1229.3185943452393","1229.3185943452393"
"835584","1241.756477336089","1241.756477336089","1241.756477336089"
"847872","1225.5346518244928","1225.5346518244928","1225.5346518244928"
"860160","1221.758823255698","1221.758823255698","1221.758823255698"
"872448","1229.515601336956","1229.515601336956","1229.515601336956"
"884736","1230.214840422074","1230.214840422074","1230.214840422074"
"897024","1214.4290910065172","1214.4290910065172","1214.4290910065172"
"909312","1223.6445850121852","1223.6445850121852","1223.6445850121852"
"921600","1216.63416360923","1216.63416360923","1216.63416360923"
"933888","1244.6701916254979","1244.6701916254979","1244.6701916254979"
"946176","1215.137662769056","1215.137662769056","1215.137662769056"
"958464","1205.2865781075345","1205.2865781075345","1205.2865781075345"
"970752","1220.7863081594307","1220.7863081594307","1220.7863081594307"
"983040","1230.9874197940032","1230.9874197940032","1230.9874197940032"
"995328","1224.4739575372723","1224.4739575372723","1224.4739575372723"
"1007616","1198.7956836234364","1198.7956836234364","1198.7956836234364"
"1019904","1209.8255995499965","1209.8255995499965","1209.8255995499965"
"1032192","1220.7588219740699","1220.7588219740699","1220.7588219740699"
"1044480","1236.9379424154758","1236.9379424154758","1236.9379424154758"
"1056768","1240.4546656485152","1240.4546656485152","1240.4546656485152"
"1069056","1228.9629276592245","1228.9629276592245","1228.9629276592245"
"1081344","1222.1738311946392","1222.1738311946392","1222.1738311946392"
"1093632","1224.314829248972","1224.314829248972","1224.314829248972"
"1105920","1225.1145907637895","1225.1145907637895","1225.1145907637895"
"1118208","1221.0570664901247","1221.0570664901247","1221.0570664901247"
"1130496","1219.5689830890135","1219.5689830890135","1219.5689830890135"
"1142784","1232.6484313396488","1232.6484313396488","1232.6484313396488"
"1155072","1215.7031244114787","1215.7031244114787","1215.7031244114787"
"1167360","1223.2044287323952","1223.2044287323952","1223.2044287323952"
"1179648","1237.2671252576386","1237.2671252576386","1237.2671252576386"
"1191936","1217.9211106199728","1217.9211106199728","1217.9211106199728"
"1204224","1200.5417644468819","1200.5417644468819","1200.5417644468819"
"1216512","1220.001830359172","1220.001830359172","1220.001830359172"
"1228800","1207.373797138404","1207.373797138404","1207.373797138404"
"1241088","1224.4263442941383","1224.4263442941383","1224.4263442941383"
"1253376","1213.7638831734657","1213.7638831734657","1213.7638831734657"
"1265664","1206.5155769177154","1206.5155769177154","1206.5155769177154"
"1277952","1220.503960140124","1220.503960140124","1220.503960140124"
"1290240","1196.7708490888278","1196.7708490888278","1196.7708490888278"
"1302528","1230.7342645676435","1230.7342645676435","1230.7342645676435"
"1314816","1198.7307908246464","1198.7307908246464","1198.7307908246464"
"1327104","1229.9181884425304","1229.9181884425304","1229.9181884425304"
"1339392","1229.0866320915893","1229.0866320915893","1229.0866320915893"
"1351680","1221.6133573849995","1221.6133573849995","1221.6133573849995"
"1363968","1241.2347535998458","1241.2347535998458","1241.2347535998458"
"1376256","1225.8482399185498","1225.8482399185498","1225.8482399185498"
"1388544","1212.428342570861","1212.428342570861","1212.428342570861"
"1400832","1239.084665017898","1239.084665017898","1239.084665017898"
"1413120","1222.6588687984024","1222.6588687984024","1222.6588687984024"
