"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","157","157","157"
"24576","141","141","141"
"36864","136","136","136"
"49152","121","121","121"
"61440","109","109","109"
"73728","90","90","90"
"86016","78","78","78"
"98304","88","88","88"
"110592","82","82","82"
"122880","88","88","88"
"135168","89","89","89"
"147456","87","87","87"
"159744","78","78","78"
"172032","73","73","73"
"184320","76","76","76"
"196608","68","68","68"
"208896","82","82","82"
"221184","84","84","84"
"233472","76","76","76"
"245760","71","71","71"
"258048","72","72","72"
"270336","72","72","72"
"282624","68","68","68"
"294912","76","76","76"
"307200","68","68","68"
"319488","66","66","66"
"331776","61","61","61"
"344064","81","81","81"
"356352","75","75","75"
"368640","82","82","82"
"380928","73","73","73"
"393216","69","69","69"
"405504","80","80","80"
"417792","77","77","77"
"430080","82","82","82"
"442368","77","77","77"
"454656","67","67","67"
"466944","74","74","74"
"479232","59","59","59"
"491520","70","70","70"
"503808","68","68","68"
"516096","81","81","81"
"528384","73","73","73"
"540672","65","65","65"
"552960","69","69","69"
"565248","72","72","72"
"577536","84","84","84"
"589824","74","74","74"
"602112","72","72","72"
"614400","68","68","68"
"626688","73","73","73"
"638976","80","80","80"
"651264","81","81","81"
"663552","63","63","63"
"675840","74","74","74"
"688128","69","69","69"
"700416","82","82","82"
"712704","78","78","78"
"724992","73","73","73"
"737280","80","80","80"
"749568","65","65","65"
"761856","79","79","79"
"774144","80","80","80"
"811008","71","71","71"
"823296","61","61","61"
"835584","73","73","73"
"847872","62","62","62"
"860160","76","76","76"
"872448","63","63","63"
"884736","79","79","79"
"897024","68","68","68"
"909312","73","73","73"
"921600","76","76","76"
"933888","78","78","78"
"946176","68","68","68"
"958464","78","78","78"
"970752","83","83","83"
"983040","79","79","79"
"995328","74","74","74"
"1007616","77","77","77"
"1019904","77","77","77"
"1032192","74","74","74"
"1044480","68","68","68"
"1056768","76","76","76"
"1069056","77","77","77"
"1081344","88","88","88"
"1093632","80","80","80"
"1105920","76","76","76"
"1118208","77","77","77"
"1130496","82","82","82"
"1142784","81","81","81"
"1155072","74","74","74"
"1167360","82","82","82"
"1179648","76","76","76"
"1191936","77","77","77"
"1204224","70","70","70"
"1216512","74","74","74"
"1228800","71","71","71"
"1241088","74","74","74"
"1253376","78","78","78"
"1265664","69","69","69"
"1277952","69","69","69"
"1290240","69","69","69"
"1302528","77","77","77"
"1314816","66","66","66"
"1327104","75","75","75"
"1339392","71","71","71"
"1351680","70","70","70"
"1363968","75","75","75"
"1376256","68","68","68"
"1388544","69","69","69"
"1400832","73","73","73"
"1413120","66","66","66"
"1425408","65","65","65"
"1437696","73","73","73"
"1449984","67","67","67"
"1462272","74","74","74"
"1474560","68","68","68"
"1486848","71","71","71"
"1499136","67","67","67"
"1511424","73","73","73"
"1523712","66","66","66"
