"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","17.984102098787986","17.984102098787986","17.984102098787986"
"24576","14.786998516053297","14.786998516053297","14.786998516053297"
"36864","17.304113361181","17.304113361181","17.304113361181"
"49152","18.35631142628451","18.35631142628451","18.35631142628451"
"61440","23.090772350576803","23.090772350576803","23.090772350576803"
"73728","26.390319519624935","26.390319519624935","26.390319519624935"
"86016","37.840372113226195","37.840372113226195","37.840372113226195"
"98304","43.42928233063248","43.42928233063248","43.42928233063248"
"110592","50.77069866129074","50.77069866129074","50.77069866129074"
"122880","56.2880300177007","56.2880300177007","56.2880300177007"
"135168","61.831076200593984","61.831076200593984","61.831076200593984"
"147456","82.80769035012223","82.80769035012223","82.80769035012223"
"159744","65.05258629405708","65.05258629405708","65.05258629405708"
"172032","66.64153482045157","66.64153482045157","66.64153482045157"
"184320","66.14356721440952","66.14356721440952","66.14356721440952"
"196608","77.07794129477195","77.07794129477195","77.07794129477195"
"208896","73.7890571305177","73.7890571305177","73.7890571305177"
"221184","68.06986924592083","68.06986924592083","68.06986924592083"
"233472","68.24479081460407","68.24479081460407","68.24479081460407"
"245760","69.15950883345471","69.15950883345471","69.15950883345471"
"258048","76.89708540307082","76.89708540307082","76.89708540307082"
"270336","60.995188973745876","60.995188973745876","60.995188973745876"
"282624","71.12785445653846","71.12785445653846","71.12785445653846"
"294912","61.742506730404344","61.742506730404344","61.742506730404344"
"307200","73.74731671581873","73.74731671581873","73.74731671581873"
"319488","64.3193179157873","64.3193179157873","64.3193179157873"
"331776","61.78285010731398","61.78285010731398","61.78285010731398"
"344064","53.21985454361409","53.21985454361409","53.21985454361409"
"356352","62.20350308373809","62.20350308373809","62.20350308373809"
"368640","67.67520643107817","67.67520643107817","67.67520643107817"
"380928","85.14131438596682","85.14131438596682","85.14131438596682"
"393216","90.67854565018659","90.67854565018659","90.67854565018659"
"405504","89.84873919574608","89.84873919574608","89.84873919574608"
"417792","81.112649482869","81.112649482869","81.112649482869"
"430080","88.3015913041334","88.3015913041334","88.3015913041334"
"442368","96.51148338143419","96.51148338143419","96.51148338143419"
"454656","99.59951415824118","99.59951415824118","99.59951415824118"
"466944","110.208320625334","110.208320625334","110.208320625334"
"479232","101.29441445257515","101.29441445257515","101.29441445257515"
"491520","100.99777108045677","100.99777108045677","100.99777108045677"
"503808","99.63017550753365","99.63017550753365","99.63017550753365"
"516096","107.9684694739419","107.9684694739419","107.9684694739419"
"528384","117.47069718998651","117.47069718998651","117.47069718998651"
"540672","108.18210930883149","108.18210930883149","108.18210930883149"
"552960","101.64869646519878","101.64869646519878","101.64869646519878"
"565248","114.8973115742552","114.8973115742552","114.8973115742552"
"577536","114.83351512747636","114.83351512747636","114.83351512747636"
"589824","139.08021817410986","139.08021817410986","139.08021817410986"
"602112","138.2939238298106","138.2939238298106","138.2939238298106"
"614400","130.57393132617398","130.57393132617398","130.57393132617398"
"626688","133.5947875218227","133.5947875218227","133.5947875218227"
"638976","146.5751009089204","146.5751009089204","146.5751009089204"
"651264","143.49698594795095","143.49698594795095","143.49698594795095"
"663552","148.31576597667998","148.31576597667998","148.31576597667998"
"675840","151.46211864309817","151.46211864309817","151.46211864309817"
"688128","138.42086146205108","138.42086146205108","138.42086146205108"
"700416","134.16121065427896","134.16121065427896","134.16121065427896"
"712704","174.6172952555646","174.6172952555646","174.6172952555646"
"724992","121.9590057363658","121.9590057363658","121.9590057363658"
"737280","135.39057843573391","135.39057843573391","135.39057843573391"
"749568","141.14337050097808","141.14337050097808","141.14337050097808"
"761856","148.03276715463826","148.03276715463826","148.03276715463826"
"774144","163.9923121888062","163.9923121888062","163.9923121888062"
"786432","202.86115688450482","202.86115688450482","202.86115688450482"
"798720","133.26779512367054","133.26779512367054","133.26779512367054"
"811008","167.5205034047531","167.5205034047531","167.5205034047531"
"823296","158.75322972697356","158.75322972697356","158.75322972697356"
"835584","169.28562671416907","169.28562671416907","169.28562671416907"
"847872","125.12513682185583","125.12513682185583","125.12513682185583"
"860160","146.76529829598363","146.76529829598363","146.76529829598363"
"872448","164.8686770120052","164.8686770120052","164.8686770120052"
"884736","172.5465807574358","172.5465807574358","172.5465807574358"
"897024","146.70052109241374","146.70052109241374","146.70052109241374"
"909312","197.65751585006572","197.65751585006572","197.65751585006572"
"921600","181.73649111334532","181.73649111334532","181.73649111334532"
"933888","164.1411265076184","164.1411265076184","164.1411265076184"
"946176","151.12099373128444","151.12099373128444","151.12099373128444"
"958464","198.07598622540132","198.07598622540132","198.07598622540132"
"970752","206.66788555206355","206.66788555206355","206.66788555206355"
"983040","176.57592210299345","176.57592210299345","176.57592210299345"
"995328","132.43920475244522","132.43920475244522","132.43920475244522"
"1007616","202.2032657938924","202.2032657938924","202.2032657938924"
"1019904","131.58184715083667","131.58184715083667","131.58184715083667"
"1032192","179.47985080727992","179.47985080727992","179.47985080727992"
"1044480","167.1421986276926","167.1421986276926","167.1421986276926"
"1056768","223.7973543925568","223.7973543925568","223.7973543925568"
"1069056","194.00717854813303","194.00717854813303","194.00717854813303"
"1081344","162.9303428001735","162.9303428001735","162.9303428001735"
"1093632","184.2140001075857","184.2140001075857","184.2140001075857"
"1105920","184.0230199284165","184.0230199284165","184.0230199284165"
"1118208","222.06663236321012","222.06663236321012","222.06663236321012"
"1130496","229.32250144034515","229.32250144034515","229.32250144034515"
"1142784","190.1325964446931","190.1325964446931","190.1325964446931"
"1155072","178.634236304874","178.634236304874","178.634236304874"
"1167360","178.4296912361801","178.4296912361801","178.4296912361801"
